#ppt,,,,,,,,,,,,,,,,,,,,,,,,
,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d)
2015-05-04T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-06T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-07T00:00:00Z,2.1020477,2.1020477,2.1020477,2.1020477,2.1020477,2.1020477,2.1020477,2.1020477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-09T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-10T00:00:00Z,0.005302106,0.005302106,0.005302106,0.005302106,0.005302106,0.005302106,0.005302106,0.005302106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-11T00:00:00Z,0.39582267,0.39582267,0.39582267,0.39582267,0.39582267,0.39582267,0.39582267,0.39582267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12T00:00:00Z,0.09008976,0.09008976,0.09008976,0.09008976,0.09008976,0.09008976,0.09008976,0.09008976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
