Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
2006	9	31.83056	9.31338	378.1	109.6121873	390	0
2006	10	30.7348	-2.62903	309.5	75.27604045	390	0
2006	11	26.42504	-5.6177	215.5	219.1968536	390	0
2006	12	23.34594	-9.41764	173.8	77.78734756	390	0
2007	1	25.1381	-8.26877	188.4	70.20670133	390	0
2007	2	21.71655	-7.90424	247.6	56.1523348	390	0
2007	3	30.97192	-3.2467	354.9	67.7892308	390	0
2007	4	31.06707	-3.2971	461.6	86.67533091	390	0
2007	5	32.42706	3.75173	496.1	31.81635615	390	0
2007	6	34.78515	14.09033	531.8	103.9221064	390	0
2007	7	35.2288	13.21	531.2	69.79733161	390	0
2007	8	40.24404	19.0631	445.4	33.31083247	390	0
2007	9	36.20507	8.5788	378.1	47.45335836	390	0
2007	10	33.12106	0.57702	309.5	120.5838635	390	0
2007	11	24.6712	-5.67136	215.5	10.75246502	390	0
2007	12	26.3215	-4.88898	173.8	113.6132322	390	0
2008	1	22.49163	-10.288	188.4	43.24936765	390	0
2008	2	24.73928	-5.4579	247.6	87.49725692	390	0
2008	3	27.33203	-1.60947	354.9	94.35492283	390	0
2008	4	27.7932	0.5902	461.6	130.2240085	390	0
2008	5	31.5381	7.06417	496.1	68.88805919	390	0
2008	6	37.1681	13.2823	531.8	70.42621812	390	0
2008	7	35.9853	13.6868	531.2	158.0644323	390	0
2008	8	36.9844	14.32464	445.4	167.5434461	390	0
2008	9	31.85247	10.1314	378.1	238.1140635	390	0
2008	10	29.19424	-2.66025	309.5	32.76648679	390	0
2008	11	24.98678	-7.19483	215.5	105.5720348	390	0
2008	12	23.1114	-6.8975	173.8	69.9752863	390	0
2009	1	20.48037	-11.028	188.4	43.60653428	390	0
2009	2	23.76064	-7.28028	247.6	70.05885239	390	0
2009	3	27.29998	-8.2531	354.9	125.3432966	390	0
2009	4	32.37206	2.55386	461.6	41.96898353	390	0
2009	5	32.03307	4.80898	496.1	105.3228375	390	0
2009	6	36.27435	16.01724	531.8	69.99528663	390	0
2009	7	34.53478	14.23635	531.2	102.7676815	390	0
2009	8	35.39984	17.6233	445.4	110.6115997	390	0
2009	9	31.756	8.9742	378.1	69.35259659	390	0
2009	10	28.8699	1.28674	309.5	50.32980323	390	0
2009	11	23.5184	-2.30765	215.5	145.6964408	390	0
2009	12	20.6085	-5.8947	173.8	143.8141472	390	0
2010	1	20.42343	-9.21085	188.4	122.5605666	390	0
2010	2	19.02297	-5.1221	247.6	118.1694338	390	0
2010	3	26.88354	-2.77906	354.9	72.23142545	390	0
2010	4	32.87036	4.20727	461.6	31.28396899	390	0
2010	5	33.56063	7.28628	496.1	150.6545979	390	0
2010	6	37.47872	16.9882	531.8	107.8835825	390	0
2010	7	39.04296	14.75817	531.2	129.051237	390	0
2010	8	36.75048	18.29086	445.4	58.77239103	390	0
2010	9	36.71523	13.9841	378.1	191.2410903	390	0
2010	10	30.74536	2.80383	309.5	19.92352919	390	0
2010	11	24.4494	-1.50645	215.5	30.9985023	390	0
2010	12	20.2518	-9.2733	173.8	41.68084339	390	0
2011	1	20.00573	-9.48066	188.4	26.40240828	390	0
2011	2	28.1658	-4.99317	247.6	79.08388645	390	0
2011	3	28.71798	-3.0625	354.9	82.95191194	390	0
2011	4	32.58645	3.33163	461.6	72.2212697	390	0
2011	5	37.02813	5.36236	496.1	71.86493901	390	0
2011	6	39.26342	15.88732	531.8	109.2329147	390	0
2011	7	41.19732	18.36343	531.2	84.02252943	390	0
2011	8	39.95303	15.0676	445.4	123.3317101	390	0
2011	9	33.5726	5.97415	378.1	117.6624977	390	0
2011	10	30.12097	-2.22214	309.5	53.62870418	390	0
2011	11	27.42336	-3.20594	215.5	97.7808137	390	0
2011	12	23.76556	-3.47904	173.8	30.27619416	390	0
2012	1	22.4453	-8.795	188.4	58.95212037	390	0
2012	2	27.3356	-8.29676	247.6	54.18612577	390	0
2012	3	29.78616	-2.70542	354.9	105.0839978	390	0
2012	4	32.6913	-1.07752	461.6	72.30394657	390	0
2012	5	33.75564	8.61184	496.1	143.8439555	390	0
2012	6	41.92333	10.3198	531.8	74.85846027	390	0
2012	7	42.1239	19.80096	531.2	153.15708	390	0
2012	8	36.42843	16.4604	445.4	125.440513	390	0
2012	9	34.6886	8.10906	378.1	86.37812651	390	0
2012	10	31.36468	0.57858	309.5	36.01847372	390	0
2012	11	25.24313	-6.27137	215.5	28.50481453	390	0
